Date,1 (Horizons),2 (Town Hill small),3 (Town Hill med),4 (Town Hill long),5 (TNB1; Beachcam),6 (TNB2),7 (TNB3; east stairs),8 (TNB4),9 (TNB5; owash),10 (W. Jetty),11 (E. Jetty)
2/27/2018,0,0,1,2,1,0,1,1,0,1,0
4/14/2017,1,0,1,2,0,1,0,0,0,0,0
10/10/2016,2,1,0,1,0,0,1,1,1,0,-1
5/10/2016,2,0,0,1,0,0,1,0,0,-1,-2
5/23/2015,1,0,0,1,-1,0,1,0,1,1,-2
6/15/2014,1,0,0,2,1,-1,0,1,0,1,1
8/30/2012,1,1,1,2,2,0,1,0,0,0,0
3/11/2012,1,0,0,2,1,0,1,1,0,1,1
12/31/2009,1,0,1,1,-2,-1,0,1,0,1,1
5/20/2010,0,1,0,1,1,0,0,1,0,1,1
7/2/2008,0,0,0,1,0,0,0,1,0,1,-1
7/28/2007,1,1,0,0,1,1,1,1,1,1,1
7/6/2003,0,0,0,1,-1,0,1,0,0,1,0
3/31/2005,1,0,0,2,1,0,1,0,0,1,0
12/31/2003,1,0,0,0,1,0,0,1,0,1,1
7/6/2003,1,0,0,1,0,0,1,1,0,1,1
12/31/2000,1,0,-1,-1,-1,0,1,1,1,2,0
3/1/1995,1,0,0,2,1,1,1,1,0,2,2
4/3/1991,1,1,-1,2,1,0,0,1,0,2,2
